[detection] Anomalies.
bottle/test/broken_large/000.png@#@<p>Anomalies</p> {<35><68><91><90>}<delim>{<28><27><71><76>}
bottle/test/broken_large/001.png@#@<p>Anomalies</p> {<14><46><85><72>}
bottle/test/broken_large/002.png@#@<p>Anomalies</p> {<50><34><72><56>}<delim>{<15><60><43><79>}
bottle/test/broken_large/003.png@#@<p>Anomalies</p> {<50><39><67><52>}<delim>{<48><17><89><46>}<delim>{<65><32><84><45>}
bottle/test/broken_large/004.png@#@<p>Anomalies</p> {<19><23><40><48>}<delim>{<14><25><36><47>}
bottle/test/broken_large/005.png@#@<p>Anomalies</p> {<15><10><83><87>}
bottle/test/broken_large/006.png@#@<p>Anomalies</p> {<12><15><93><84>}
bottle/test/broken_large/007.png@#@<p>Anomalies</p> {<12><30><89><91>}
bottle/test/broken_large/008.png@#@<p>Anomalies</p> {<19><57><36><74>}<delim>{<20><58><37><75>}<delim>{<67><34><83><49>}<delim>{<66><35><87><50>}<delim>{<66><34><87><49>}<delim>{<20><58><37><75>}
bottle/test/broken_large/009.png@#@<p>Anomalies</p> {<47><63><58><72>}<delim>{<18><19><50><26>}<delim>{<27><26><57><33>}<delim>{<48><19><60><25>}
bottle/test/broken_large/010.png@#@<p>Anomalies</p> {<7><2><94><96>}
bottle/test/broken_large/011.png@#@<p>Anomalies</p> {<62><65><78><74>}<delim>{<30><29><47><46>}<delim>{<30><19><52><33>}
bottle/test/broken_large/012.png@#@<p>Anomalies</p> {<21><30><77><75>}
bottle/test/broken_large/013.png@#@<p>Anomalies</p> {<12><7><94><95>}
bottle/test/broken_large/014.png@#@<p>Anomalies</p> {<19><47><84><82>}
bottle/test/broken_large/015.png@#@<p>Anomalies</p> {<10><4><93><97>}
bottle/test/broken_large/016.png@#@<p>Anomalies</p> {<3><4><96><96>}
bottle/test/broken_large/017.png@#@<p>Anomalies</p> {<13><19><87><77>}<delim>{<51><20><66><35>}
bottle/test/broken_large/018.png@#@<p>Anomalies</p> {<14><18><93><90>}
bottle/test/broken_large/019.png@#@<p>Anomalies</p> {<48><20><75><36>}
bottle/test/broken_small/000.png@#@<p>Anomalies</p> {<16><15><83><77>}
bottle/test/broken_small/001.png@#@<p>Anomalies</p> {<19><30><37><46>}
bottle/test/broken_small/002.png@#@<p>Anomalies</p> {<60><27><83><54>}<delim>{<25><27><49><53>}<delim>{<60><27><83><54>}<delim>{<25><27><49><53>}<delim>{<60><27><83><54>}
bottle/test/broken_small/003.png@#@<p>Anomalies</p> {<54><20><71><49>}<delim>{<32><32><73><81>}
bottle/test/broken_small/004.png@#@<p>Anomalies</p> {<17><64><44><80>}<delim>{<36><23><75><82>}
bottle/test/broken_small/005.png@#@<p>Anomalies</p> {<23><65><42><81>}<delim>{<30><67><42><82>}
bottle/test/broken_small/006.png@#@<p>Anomalies</p> {<38><22><64><39>}
bottle/test/broken_small/007.png@#@<p>Anomalies</p> {<18><23><89><75>}
bottle/test/broken_small/008.png@#@<p>Anomalies</p> {<20><28><79><73>}<delim>{<21><41><79><74>}
bottle/test/broken_small/009.png@#@<p>Anomalies</p> {<37><68><49><79>}<delim>{<26><71><48><80>}
bottle/test/broken_small/010.png@#@<p>Anomalies</p> {<46><21><83><39>}<delim>{<59><20><79><38>}
bottle/test/broken_small/011.png@#@<p>Anomalies</p> {<20><55><30><67>}<delim>{<19><56><33><74>}
bottle/test/broken_small/012.png@#@<p>Anomalies</p> {<42><69><52><78>}<delim>{<30><68><52><84>}
bottle/test/broken_small/013.png@#@<p>Anomalies</p> {<10><7><95><93>}
bottle/test/broken_small/014.png@#@<p>Anomalies</p> {<14><46><78><75>}
bottle/test/broken_small/015.png@#@<p>Anomalies</p> {<14><26><78><71>}<delim>{<29><24><74><73>}
bottle/test/broken_small/016.png@#@<p>Anomalies</p> {<20><43><83><75>}
bottle/test/broken_small/017.png@#@<p>Anomalies</p> {<18><37><34><50>}
bottle/test/broken_small/018.png@#@<p>Anomalies</p> {<18><47><85><82>}
bottle/test/broken_small/019.png@#@<p>Anomalies</p> {<20><56><37><74>}
bottle/test/broken_small/020.png@#@<p>Anomalies</p> {<21><30><82><75>}
bottle/test/broken_small/021.png@#@<p>Anomalies</p> {<12><19><87><86>}
bottle/test/contamination/000.png@#@<p>Anomalies</p> {<32><50><78><76>}<delim>{<43><39><68><61>}
bottle/test/contamination/001.png@#@<p>Anomalies</p> {<12><4><94><94>}
bottle/test/contamination/002.png@#@<p>Anomalies</p> {<46><78><53><84>}<delim>{<46><60><51><66>}<delim>{<64><41><70><46>}<delim>{<59><52><69><60>}
bottle/test/contamination/003.png@#@<p>Anomalies</p> {<10><4><92><96>}
bottle/test/contamination/004.png@#@<p>Anomalies</p> {<13><4><89><53>}<delim>{<30><22><75><51>}
bottle/test/contamination/005.png@#@<p>Anomalies</p> {<32><34><65><69>}<delim>{<60><76><82><88>}
bottle/test/contamination/006.png@#@<p>Anomalies</p> {<31><29><76><75>}<delim>{<51><25><65><46>}
bottle/test/contamination/007.png@#@<p>Anomalies</p> {<55><34><79><69>}<delim>{<14><26><88><88>}
bottle/test/contamination/008.png@#@<p>Anomalies</p> {<63><35><70><49>}<delim>{<53><31><62><46>}<delim>{<62><31><72><49>}
bottle/test/contamination/009.png@#@<p>Anomalies</p> {<5><7><94><91>}
bottle/test/contamination/010.png@#@<p>Anomalies</p> {<10><32><81><76>}
bottle/test/contamination/011.png@#@<p>Anomalies</p> {<5><4><95><95>}
bottle/test/contamination/012.png@#@<p>Anomalies</p> {<23><27><79><76>}<delim>{<22><26><82><85>}
bottle/test/contamination/013.png@#@<p>Anomalies</p> {<1><7><94><97>}
bottle/test/contamination/014.png@#@<p>Anomalies</p> {<37><64><59><85>}
bottle/test/contamination/015.png@#@<p>Anomalies</p> {<34><28><60><45>}
bottle/test/contamination/016.png@#@<p>Anomalies</p> {<25><21><83><79>}
bottle/test/contamination/017.png@#@<p>Anomalies</p> {<5><7><63><52>}
bottle/test/contamination/018.png@#@<p>Anomalies</p> {<66><34><91><56>}
bottle/test/contamination/019.png@#@<p>Anomalies</p> {<21><56><48><73>}<delim>{<30><13><79><40>}<delim>{<17><46><84><77>}
bottle/test/contamination/020.png@#@<p>Anomalies</p> {<10><4><94><96>}
bottle/test/good/000.png@#@<p>Anomalies</p> {<5><4><95><100>}
bottle/test/good/001.png@#@<p>Anomalies</p> {<20><29><76><73>}
bottle/test/good/002.png@#@<p>Anomalies</p> {<21><24><75><83>}
bottle/test/good/003.png@#@<p>Anomalies</p> {<18><24><82><79>}
bottle/test/good/004.png@#@<p>Anomalies</p> {<30><21><78><75>}
bottle/test/good/005.png@#@<p>Anomalies</p> {<5><4><96><96>}
bottle/test/good/006.png@#@<p>Anomalies</p> {<12><24><87><81>}
bottle/test/good/007.png@#@<p>Anomalies</p> {<20><27><81><79>}
bottle/test/good/008.png@#@<p>Anomalies</p> {<6><3><95><97>}
bottle/test/good/009.png@#@<p>Anomalies</p> {<34><26><69><47>}<delim>{<10><36><83><76>}
bottle/test/good/010.png@#@<p>Anomalies</p> {<25><36><75><73>}
bottle/test/good/011.png@#@<p>Anomalies</p> {<19><23><80><85>}
bottle/test/good/012.png@#@<p>Anomalies</p> {<21><38><80><54>}
bottle/test/good/013.png@#@<p>Anomalies</p> {<23><34><76><58>}
bottle/test/good/014.png@#@<p>Anomalies</p> {<22><31><76><65>}
bottle/test/good/015.png@#@<p>Anomalies</p> {<9><7><93><94>}<delim>{<21><20><79><85>}
bottle/test/good/016.png@#@<p>Anomalies</p> {<25><30><74><56>}<delim>{<26><28><63><59>}
bottle/test/good/017.png@#@<p>Anomalies</p> {<14><15><93><87>}
bottle/test/good/018.png@#@<p>Anomalies</p> {<30><45><78><63>}<delim>{<22><51><44><63>}<delim>{<29><32><47><42>}<delim>{<48><32><72><44>}
bottle/test/good/019.png@#@<p>Anomalies</p> {<21><29><72><72>}
cable/test/bent_wire/000.png@#@<p>Anomalies</p> {<17><38><49><71>}<delim>{<34><10><67><42>}
